"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"994","Sword & Sorcery","SAT","1996","Role-Playing","Micro Cabin","0","0","0.1","0"
"995","Assetto Corsa","XOne","2016","Racing","505 Games","0","0.01","0","0"
"996","Devil May Cry 4","PS4","2015","Action","Capcom","0.01","0","0.08","0"
"997","Clock Tower 3","PS2","2002","Adventure","Capcom","0.1","80K","0.12","0.03"
"998","NiGHTS: Journey of Dreams","Wii","2007","Platform","Sega","0.33","0.03","0.04","0.03"
"999","Yakuza: Ishin","PS3","2014","Action","Sega","0","0","0.26","0"
"1000","Blazblue: Continuum Shift Extend","PSP","2012","Fighting","Arc System Works","0","0","0.01","0"
"1001","Zumba Fitness Core","X360","2012","Misc","505 Games","0","0.06","0","0.01"
"1002","Resident Evil 5","PC","2009","Action","Capcom","0.01","0.04","0","0.01"
"1003","Predator: Concrete Jungle","PS2","2005","Action","Vivendi Games","0.1","0.07","0","0.03"
"1004","Warriors Orochi 2 (JP sales)","PS2","2008","Action","Tecmo Koei","0","0","0.4","0"
"1005","Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret","PS2","2007","Sports","Konami Digital Entertainment","0","0","0.04","0"
"1006","Gran Turismo 3: A-Spec","PS2","2001","Racing","Sony Computer Entertainment","6.85","5.09","1.87","1.16"
"1007","No More Heroes","Wii","2007","Action","Rising Star Games","0.3","0.17","0.04","0.05"
"1008","WipEout XL","PS","1996","Racing","Psygnosis","0.14","0.1","0","0.02"
"1009","Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin","DS","2008","Adventure","Marvelous Interactive","0","0","0.06","0"
"1010","Phantasy Star Collection","GBA","2002","Role-Playing","Atari","0.08","0.03","0","0"
"1011","Luminous Arc Infinity","PSV","2015","Action","Marvel Entertainment","0","0","0.05","0"
"1012","Tribes: Aerial Assault","PS2","N/A","Shooter","Unknown","0.11","0.09","0","0.03"
"1013","Lost in Blue: Shipwrecked","Wii","2008","Adventure","Konami Digital Entertainment","0.07","0","0","0.01"
"1014","Paws & Claws Pet Vet: Australian Adventures","DS","2009","Simulation","THQ","0.1","0","0","0.01"
"1015","LittleBigPlanet 3","PS3","2014","Platform","Sony Computer Entertainment","0.2","0.43","0.01","0.11"
"1016","Wolfenstein","PC","09","Shooter","Activision","0.01","0.03","0","0.01"
"1017","Trigger Man","GC","2004","Shooter","Crave Entertainment","0.01","0","0","0"
"1018","Hikaru no Go: Heian Gensou Ibunroku","PS","2002","Adventure","Konami Digital Entertainment","0","0","0.06","0"
"1019","Ni Hao, Kai-lan: Super Game Day","Wii","2009","Misc","Take-Two Interactive","0.18","0","0","0.01"
"1020","Overlord II","PS3","2009","Action","Codemasters","0.11","0.15","0","0.06"
"1021","Pop'n Music Portable","PSP","2010","Misc","Konami Digital Entertainment","0","0","0.13","0"
"1022","The Sims 2: Family Fun Stuff","PC","2006","Simulation","Electronic Arts","0","0.01","0","0"
"1023","Dragon's Lair","DS","2010","Platform","Destineer","0.02","0","0","0"
"1024","NBA Inside Drive 2004","XB","2003","Sports","Microsoft Game Studios","0.13","0.04","0","0.01"
"1025","Dragon's Dogma Online: Season 2","PS4","2016","Action","Capcom","0","0","0.01","0"
"1026","Arena Football","PS2","2006","Sports","Electronic Arts","0.28","0.22","0","0.07"
"1027","Metal Gear Solid: Snake Eater 3D","3DS","2012","Action","Konami Digital Entertainment","0.15","0.11","0.1","0.02"
"1028","G.I. Joe: The Rise of Cobra","X360","2009","Action","Electronic Arts","0.17","0.05","0","0.02"
"1029","Solitaire Overload Plus","DS","2010","Misc","Telegames","0.16","0","0","0.01"
"1030","One Piece: Super Grand Battle! X","3DS","2014","Fighting","Namco Bandai Games","0","0","0.12","0"
"1031","Street Fighter Alpha: Warriors' Dreams","SAT","1996","Fighting","Capcom","0","0","0.35","0"
"1032","Harry Potter and the Chamber of Secrets","PS","2002","Action","Electronic Arts","0.75","1.09","0.02","0.12"
"1033","Planet Puzzle League","DS","2007","Puzzle","Nintendo","0.14","0.01","0.16","0.01"
"1034","Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia","DS","2010","Strategy","Konami Digital Entertainment","0.18","0.02","0.09","0.02"
"1035","Formula One World Championship: Beyond the Limit","SCD","1994","Racing","Sega","0","0","0.07","0"
"1036","The Legend of Zelda: Twilight Princess","Wii","2006","Action","Nintendo","3.83","2.19","0.6","0.7"
"1037","Mini Ninjas","DS","2009","Action","Eidos Interactive","0.17","0.15","0","0.04"
"1038","Spy Hunter 2","XB","2003","Racing","Midway Games","0.1","0.03","0","0"
"1039","LEGO Jurassic World","XOne","2015","Action","Warner Bros. Interactive Entertainment","0.35","0.22","0","0.06"
"1040","Carnage Heart","PS","1995","Strategy","Sony Computer Entertainment","0.01","0.01","0.09","0.01"
"1041","Syphon Filter: Logan's Shadow","PS2","2010","Shooter","Sony Computer Entertainment","0.03","0.02","0","0.01"
"1042","Metal Gear Solid 2: Substance","XB","N/A","Action","Konami Digital Entertainment","0.38","0.22","0","0.03"
"1043","Rare Replay","XOne","2015","Misc","Microsoft Game Studios","0.47","0.21","0.01","0.07"
"1044","Kenka Bancho: Badass Rumble","PSP","2008","Action","Spike","0.06","0","0.2","0.01"
"1045","Import Tuner Challenge (American sales)","X360","2006","Racing","Ubisoft","0.07","0.01","0","0.01"
"1046","Frogger","PS","1997","Action","Hasbro Interactive","3.79","0.27M","0","0.11"
"1047","Deca Sports","Wii","2008","Sports","Konami Digital Entertainment","1.13M","0.87","0.29","0.25"
"1048","Skylanders Giants","3DS","2012","Action","Activision","0.12","0.01","0","0.01"
"1049","Time Crisis 4","PS3","2007","Shooter","Namco Bandai Games","0.32","0.33","0.05","0.14"
"1050","Sydney 2000","PS","2000","Sports","Eidos Interactive","0.15","0.1","0","0.02"
"1051","Shin Megami Tensei: Devil Summoner - Soul Hackers","3DS","2012","Role-Playing","Atlus","0.13","0.02","0.14","0.01"
"1052","Sunday vs Magazine Shuuketsu! Choujou Daikessen","PSP","2009","Fighting","Konami Digital Entertainment","0","0","0.03","0"
"1053","Sphinx and the Cursed Mummy","GC","2003","Action","THQ","0.11","0.03","0","0"
"1054","SpongeBob's Atlantis SquarePantis","Wii","2007","Action","THQ","0.57","0.01","0","0.04"
"1055","My Street","PS2","2003","Misc","Sony Computer Entertainment","0.12","0.09","0","0.03"
"1056","Disney Sports Football","GC","2002","Sports","Konami Digital Entertainment","0.01","0","0","0"
"1057","Sing4: The Hits Edition","Wii","2011","Misc","Crave Entertainment","0.18","0","0","0.01"
"1058","Madden NFL 12","Wii","2011","Sports","Electronic Arts","0.43","0","0","0.03"
"1059","Bomberman Tournament","GBA","2001","Puzzle","Activision","0.1","0.04","0.1","0.01"
"1060","Pro Evolution Soccer 2016","X360","2015","Sports","Konami Digital Entertainment","0.04","0.08","0","0.01"
"1061","King Kong","2600","1981","Action","Tigervision","0.65","0.04","0","0.01"
"1062","Imagine: Sweet 16","DS","2010","Simulation","Ubisoft","0.02","0","0","0"
"1063","Mario & Sonic at the Rio 2016 Olympic Games","3DS","2016","Action","Nintendo","0.04","0.16","0.24","0.01"
"1064","Daisy Fuentes Pilates","Wii","2009","Sports","505 Games","0.17","0.06","0","0.02"
"1065","Tetrisphere","N64","1997","Puzzle","Nintendo","0.29","0.06","0","0"
"1066","Sakura Wars 4: Koi Seyo,Otome","DC","2002","Adventure","Sega","0","0","0.29","0"
"1067","DX Game of Life","PS","1996","Misc","Takara","0","0","0.27","0.02"
"1068","Battlefield 1942: The WW II Anthology","PC","2004","Shooter","Electronic Arts","0.01","0.01","0","0"
"1069","Game Center CX: Arino no Chousenjou 2","DS","2009","Action","Namco Bandai Games","0","0","0.07","0"
"1070","SpongeBob's Truth or Square","DS","2009","Action","THQ","0.08","0.07","0","0.01"
"1071","Guilty Gear Xrd -Revelator-","PS4","2016","Fighting","PQube","0.02","0","0.05","0"
"1072","Dengeki Gakuen RPG: Cross of Venus","DS","2009","Role-Playing","ASCII Media Works","0","0","0.05","0"
"1073","Army Men World War: Final Front","PS","2001","Action","3DO","0.24","0.17","0","0.03"
"1074","Tiger Woods PGA Tour 2004","GC","2003","Sports","Electronic Arts","0.12","0.03","0","0"
"1075","Harry Potter: Quidditch World Cup","PS2","2003","Sports","Electronic Arts","0.44","0.34","0","0.11"
"1076","New Play Control! Pikmin 2","Wii","2009","Strategy","Nintendo","0.11","0.14","0.33","0.02"
"1077","Frank Thomas Big Hurt Baseball","PS","1996","Sports","Acclaim Entertainment","0.08","0.05","0","0.01"
"1078","Whac-A-Mole","DS","2005","Puzzle","Zoo Digital Publishing","0.07","0","0","0.01"
"1079","Teenage Mutant Ninja Turtles: Smash-Up","Wii","2009","Fighting","Ubisoft","0.33","0","0","0.03"
"1080","Unreal Tournament 2004","PC","2004","Shooter","Atari","0","0.01","0","0"
"1081","Virtual Soccer","SNES","1993","Sports","Hudson Soft","0","0","0.53","0"
"1082","James Bond 007: Blood Stone","PC","2010","Shooter","Activision","0.02","0","0","0"
"1083","TRON: Evolution","PSP","2010","Action","Disney Interactive Studios","0.09","0.02","0","0.02"
"1084","Neighborhood Games","Wii","2009","Misc","THQ","0.17","0.02","0","0.01"
"1085","Mission: Impossible - Operation Surma","GC","2004","Platform","Atari","0.01","0","0","0M"
"1086","The Testament of Sherlock Holmes","PC","2012","Adventure","Focus Home Interactive","0","0.06","0","0.01"
"1087","Pro Evolution Soccer 2014","3DS","2013","Action","Konami Digital Entertainment","0K","0","0.19","0"
"1088","ECW Hardcore Revolution","N64","2000","Fighting","Acclaim Entertainment","0.18","0.04","0","0"
"1089","7 Wonders of the Ancient World","DS","2007","Puzzle","Funsta","0.1","0.01","0","0.01"
"1090","The BIGS 2","Wii","2009","Sports","Take-Two Interactive","0.26","0.01","0","0.02"
"1091","The Incredibles: Rise of the Underminer","GC","2005","Action","THQ","0.12","0.03","0","0"
"1092","Second Sight","XB","2004","Adventure","Codemasters","0.05","0.02","0","0"
"1093","Formula 1 06","PS2","2006","Racing","Sony Computer Entertainment","0","0","0.04","0"
"1094","Star Trek: Legacy","X360","N/A","Simulation","Ubisoft","0.14","0.03","0","0.02"
"1095","SingStar Guitar","PS3","2010","Misc","Sony Computer Entertainment","0","80K","0","0.02"
"1096","Just Dance 4","X360","2012","Misc","Ubisoft","0.9","0.2","0","0.08"
"1097","Cook Wars","Wii","2009","Misc","Ubisoft","0.03","0","0","0"
"1098","UFC Undisputed 2010","PSP","2010","Fighting","THQ","0.11","0.07","0","0.04"
"1099","Crash Bandicoot 2: Cortex Strikes Back","PS","1997","Platform","Sony Computer Entertainment","3.78","2.17","1.31","0.31"
"1100","FIFA Soccer 2004","GC","2003","Sports","Electronic Arts","0.05","0.01","0","0"
"1101","Folklore","PS3","2007","Role-Playing","Sony Computer Entertainment","0.2","0.05","0.05","0.03"
"1102","Resident Evil 2: Dual Shock Edition","PS","1998","Action","Capcom","0","0","0.26","0.02"
"1103","Ninja Gaiden Sigma","PS3","2007","Action","Eidos Interactive","0.57","0.33","0.09","0.16"
"1104","Command & Conquer","PS","1996","Strategy","Virgin Interactive","0.22","0.15","0","0.03"
"1105","LocoRoco","PSP","2006","Platform","Sony Computer Entertainment","0.14","0.05","0.16","0.04"
"1106","Phoenix Wright: Ace Attorney - Dual Destinies","3DS","2013","Adventure","Capcom","0","0","0.38","0"
"1107","Shaman King: Soul Fight","GC","2003","Platform","Namco Bandai Games","0","0","0.05","0"
"1108","Borderlands 2","X360","2012","Shooter","Take-Two Interactive","1.89","0.91","0.04","0.24"
"1109","Donkey Kong Country 3: Dixie Kong's Double Trouble!","SNES","1996","Platform","Nintendo","1.17","0.5","1.75","0.08"
"1110","Disney's Treasure Planet","GBA","2002","Action","Ubisoft","0.2","0.07","0","0.01"
"1111","D.C. III: Da Capo III","PSP","2013","Adventure","Kadokawa Games","0","0","0.03","0"
"1112","Donkey Kong Junior","2600","1981","Platform","Atari","0.9","0.05","0","0.01"
"1113","California Speed","N64","1999","Misc","Midway Games","0.13","0.03","0","0"
"1114","Mr. Driller","PS","1999","Puzzle","Namco Bandai Games","0.02","0.01","0","0"
"1115","Arslan: The Warriors of Legend","PS4","2015","Action","Tecmo Koei","0.02","0.01","0.04","0.01"
"1116","Ratchet & Clank Future: Quest for Booty","PS3","2008","Platform","Sony Computer Entertainment","0.01","0.06","0","0.02"
"1117","My Baby: First Steps","Wii","2009","Simulation","SouthPeak Games","0.12","0","0","0.01"
"1118","Virtua Fighter 5","PS3","2007","Fighting","Sega","0.29","0.52","0.08","0.2"
"1119","Bound By Flame","PS4","2014","Role-Playing","Focus Home Interactive","0.07","0.08","0","0.04"
"1120","Izuna 2: The Unemployed Ninja Returns","DS","2007","Role-Playing","Success","0.05","0","0","0"
"1121","Yu-Gi-Oh! The Falsebound Kingdom","GC","2002","Strategy","Konami Digital Entertainment","0.49","0.13","0.07","0.02"
"1122","Tom Clancy's HAWX","X360","2009","Action","Ubisoft","0.31","0.19","0.02","0.06"
"1123","Half-Life","PC","1997","Shooter","Vivendi Games","4.03","0","0.09","0"
"1124","Code Lyoko: Fall of X.A.N.A.","DS","2008","Adventure","Game Factory","0.07","0","0","0.01"
"1125","The Sims 2: Castaway","PS2","2007","Simulation","Electronic Arts","0.3","0.01","0","0.05"
"1126","Transformers: Devastation","X360","2015","Action","Activision","0.06","0.02","0","0.01"
"1127","Madagascar","GC","2005","Platform","Activision","0.52","0.13","0","0.02"
"1128","Let's Ride! Silver Buckle Stables","PS2","2006","Sports","THQ","0.05","0.04","0","0.01"
"1129","Skylanders SWAP Force","XOne","2013","Platform","Activision","0.22","0.06","0","0.02"
"1130","Asura's Wrath","PS3","2012","Action","Capcom","0.18","0.12","0.06M","0.05"
"1131","Planetarium Creator Ohira Takayuki Kanshuu: HomeStar Portable - 21st Century Star Navigator","PSP","2006","Misc","Sega","0","0","0.02","0"
"1132","Naruto: Clash of Ninja (JP sales)","GC","2003","Fighting","Tomy Corporation","0","0","0.21","0.01"
"1133","Shin Megami Tensei: Persona 3 Portable","PSP","2009","Role-Playing","Ghostlight","0.18","0.06","0.34","0.04"
"1134","Tantei Jinguuji Saburo DS: Fuserareta Shinjitsu","DS","2009","Adventure","Arc System Works","0","0","0.01","0"
"1135","P.N.03 - Product Number Three","GC","2003","Shooter","Capcom","0.06","0.02","0","0"
"1136","Shonen Jump's One Piece: Pirates Carnival","GC","2005","Misc","Namco Bandai Games","0.06","0.02","0","0"
"1137","Disney's Extreme Skate Adventure","GC","2003","Sports","Activision","0.09","0.02","0","0"
"1138","Inazuma Eleven GO 3: Galaxy","3DS","2013","Sports","Level 5","0","0","0.26","0"
"1139","Guilty Gear X: Advance Edition","GBA","2002","Fighting","Sammy Corporation","0.04","0.02","0","0"
"1140","KimiKiss (ebKore+)","PS2","2008","Adventure","Enterbrain","0","0","0.06","0"
"1141","Onimusha 2: Samurai's Destiny","PS2","2002","Adventure","Capcom","0.62","0.44","1.06","0.13"
"1142","Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!","PS","1998","Sports","Axela","0","0","0.24","0.02"
"1143","Skylanders: SuperChargers","WiiU","2015","Action","Activision","0.25","0.18","0","0.04"
"1144","Tenkai Knights: Brave Battle","3DS","2014","Action","Namco Bandai Games","0.01","0.01","0","0"
"1145","Teenage Mutant Ninja Turtles III: The Manhattan Project","NES","1991","Action","Konami Digital Entertainment","1.05","0.17","0.15","0.02"
"1146","Lego Batman 3: Beyond Gotham","XOne","2014","Action","Warner Bros. Interactive Entertainment","0.23","0.17","0","0.04"
"1147","Marvel Super Hero Squad: Comic Combat","Wii","2011","Action","THQ","0.15","0.03","0","0.01"
"1148","The Godfather","PS2","2006","Action","Electronic Arts","0.89","0.03","0.01","0.15"
"1149","The Monkey King: The Legend Begins","Wii","2007","Shooter","Starfish","0.04","0","0","0"
"1150","Black Rose Valkyrie","PS4","2016","Role-Playing","Idea Factory","0","0","0.02","0"
"1151","The Scorpion King: Sword of Osiris","GBA","2002","Action","Vivendi Games","0.13","0.05","0","0"
"1152","Undead Knights","PSP","2009","Action","Ubisoft Annecy","0.05","0.01","0.06","0.01"
"1153","Surf Riders","PS","1999","Sports","Ubisoft","0.07","0.05","0","0.01"
"1154","2002 FIFA World Cup","XB","2002","Sports","Electronic Arts","0.14","0.04","0","0.01"
"1155","Crash Nitro Kart","GBA","2003","Racing","Vivendi Games","0.33","0.12","0","0.01"
"1156","Cars: Race-O-Rama","Wii","2009","Racing","THQ","0.61","0.3","0","0.09"
"1157","Tornado Outbreak","PS3","2009","Action","Konami Digital Entertainment","0.08","0","0","0.01"
"1158","MotoGP 14","PS4","2014","Racing","Milestone S.r.l.","0.04","0.11","0","0.04"
"1159","CMT Presents: Karaoke Revolution Country","PS2","2006","Misc","Konami Digital Entertainment","0.03","0.02","0","0.01"
"1160","DJ Hero","PS3","2009","Misc","Activision","0.42","0.34","0","0.14"
"1161","NCIS","X360","2011","Adventure","Ubisoft","0.1","0.03","0","0.01"
"1162","Mobile Suit Gundam: Climax U.C.","PS2","2006","Action","Namco Bandai Games","0","0","0.23","0"
"1163","Puzzle Challenge: Crosswords and More!","Wii","2009","Puzzle","Crave Entertainment","0.03","0","0","0"
"1164","MLB 10: The Show","PSP","2010","Sports","Sony Computer Entertainment","0.19","0","0","0.02"
"1165","Yumi's Odd Odyssey","3DS","2013","Platform","Agatsuma Entertainment","0","0","0.03","0"
"1166","Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu","SNES","1994","Misc","Vap","0","0","0.05","0"
"1167",".hack//Infection Part 1","PS2","2002","Role-Playing","Atari","0.49","0.38","0.26","0.13"
"1168","Pirates of the Caribbean: The Curse of the Black Pearl","GBA","2003","Platform","TDK Mediactive","0.93","0.34","0","0.02"
"1169","Tamagotchi Collection","DS","2011","Misc","Namco Bandai Games","0","0","0.15","0"
"1170","Pinball Hall of Fame: The Williams Collection","Wii","2008","Misc","System 3 Arcade Software","0.42","0.03","0","0.04"
"1171","Dynasty Warriors 4","PS2","2003","Action","Tecmo Koei","0.63","0.21","1.13","0.13"
"1172","L.G.S: Shinsetsu Houshinengi","PSP","2012","Action","Idea Factory","0","0","0.02","0"
"1173","Whirl Tour","GC","2002","Sports","Vivendi Games","0.04","0.01","0","0"
"1174","Tamagotchi no Narikiri Challenge","DS","2010","Action","Namco Bandai Games","0","0","0.17","0"
"1175","Mobile Suit Gundam Seed: Never Ending Tomorrow","PS2","2004","Shooter","Namco Bandai Games","0.03","0.02","0","0.01"
"1176","Weiss Schwarz Portable","PSP","2011","Strategy","Namco Bandai Games","0","0","0.1","0"
"1177","Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!","PSP","2012","Action","Broccoli","0","0","0.01","0"
"1178","Lunar Legend","GBA","2002","Role-Playing","Media Rings","0.14","0.05","0","0"
"1179","Disney Tangled","DS","2010","Action","Disney Interactive Studios","0.58","0.37","0","0.09"
"1180","Bassmasters 2000","N64","1999","Sports","THQ","0.11","0.03","0","0"
"1181","Petz Wild Animals: Dolphinz","DS","2007","Simulation","Ubisoft","0.71","0.48","0","0.13"
"1182","Romance of the Three Kingdoms III: Dragon of Destiny","SNES","1992","Strategy","Tecmo Koei","0","0","0.29","0"
"1183","Valkyria Chronicles II","PSP","2010","Role-Playing","Sega","0.12","0.16","0.18","0.09"
"1184","Jissen Pachislot Hisshouhou! Hokuto no Ken DS","DS","2005","Misc","Sega","0","0","0.04","0"
"1185","Hasbro Family Game Night","DS","2009","Puzzle","Electronic Arts","0.01","0.19","0","0.02"
"1186","Marvel Super Hero Squad: The Infinity Gauntlet","PS3","2010","Action","THQ","0.12","0.03","0","0.02"
"1187","GrimGrimoire","PS2","2007","Strategy","Tecmo Koei","0.01","0.01","0.03","0"
"1188","Wild ARMs","PS","1996","Role-Playing","Sony Computer Entertainment","0.26","0.17","0.46","0.06"
"1189","Green Day: Rock Band","Wii","2010","Misc","MTV Games","0.22","0.12","0","0.03"
"1190","Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable","PSP","2010","Adventure","Idea Factory","0","0","0.02","0"
"1191","La Pucelle: Ragnarok","PSP","2009","Role-Playing","Nippon Ichi Software","0","0","0.03","0"
"1192","de Blob 2","DS","2011","Platform","THQ","0.09","0.02","0","0.01"
"1193","Scarface: The World is Yours","Wii","2007","Action","Vivendi Games","0.12","0.01","0","0.01"
"1194","Shrek: Forever After","X360","2010","Platform","Activision","0.09","0","0","0.01"
"1195","Dungeon Explorer: Warriors of Ancient Arts","PSP","2007","Role-Playing","Rising Star Games","0.01","0","0","0"
"1196","You Don't Know Jack","DS","2011","Misc","THQ","0.07","0","0","0.01"
"1197","Daikaijuu Battle: Ultra Coliseum","Wii","2008","Fighting","Namco Bandai Games","0","0","0.02","0"
"1198","Big Mutha Truckers 2","XB","2005","Racing","Empire Interactive","0.05","0.02","0","0"
"1199","NCAA Football 2003","XB","2002","Sports","Electronic Arts","0.39","0.11","0","0.02"
"1200","Super Dodge Ball Advance","GBA","2001","Sports","Ubisoft","0.14","0.05","0","0"
"1201","Brothers In Arms: Road to Hill 30","XB","2005","Shooter","Ubisoft","0.49","0.14","0","0.02"
"1202","Star Fox 64 3D","3DS","2011","Shooter","Nintendo","0.48","0.27","0.13","0.07"
"1203","Let's Cheer","X360","2011","Misc","Take-Two Interactive","0.12","0","0","0.01"
"1204","Tetris","GB","1989","Puzzle","Nintendo","23.2","2.26","4.22","0.58"
"1205","Katekyoo Hitman Reborn! Dream Hyper Battle!","PS2","2007","Fighting","Marvelous Interactive","0","0","0.02","0"
"1206","Little League World Series Baseball 2008","DS","2008","Sports","Activision","0.06","0","0","0"
"1207","Viewtiful Joe: Double Trouble!","DS","2005","Action","Capcom","0.08","0","0.01","0.01"
"1208","Caesars Palace II","PS","1998","Misc","Interplay","0.14","0.09","0","0.02"
"1209","Nano Diver","PSP","2011","Action","Takara Tomy","0","0","0.02","0"
"1210","UFC: Sudden Impact","PS2","2004","Fighting","Global Star","0.09","0.07","0","0.02"
"1211","Back to the Future: The Game","PS3","2011","Adventure","Telltale Games","0.07","0.01","0","0.01"
"1212","Choro Q 64 2: Hacha Mecha Grand Prix Race","N64","1999","Racing","Takara","0","0","0.05","0"
"1213","GunGriffon Blaze","PS2","2000","Simulation","Swing! Entertainment","0.05","0.04","0","0.01"
"1214","Croc 2","PS","1999","Platform","Fox Interactive","0.41","0.28","0","50K"
"1215","The Evil Within","PC","2014","Action","Bethesda Softworks","0.09","0.16","0","0.02"
"1216","Borderlands: The Pre-Sequel","PC","2014","Shooter","Take-Two Interactive","0.11","0.15","0","0.03"
"1217","Hexen: Beyond Heretic","PS","1997","Shooter","GT Interactive","0.06","0.04","0","0.01"
"1218","Broken Sword: Shadows of the Templars - The Director's Cut","DS","2009","Adventure","Ubisoft","0.07","0.09","0","0.02"
"1219","NHL Open Ice","PS","1996","Sports","Midway Games","0.04","0.03","0","0"
"1220","F1 2011","X360","2011","Racing","Codemasters","0.11","0.51","0.01","0.09"
"1221","Ratchet & Clank: Going Commando","PS2","03","Platform","Sony Computer Entertainment","1.44","0.83","0.26","0.25"
"1222","Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S","PS2","2002","Misc","Sammy Corporation","0","0","0.28","0"
"1223","R.U.S.E.","PS3","2010","Strategy","Ubisoft","0.18","0.22","0.02","0.09"
"1224","Up","Wii","2009","Action","THQ","0.23","0.28","0","0.06"
"1225","Dynasty Warriors 8: Xtreme Legends","PS4","2014","Action","Tecmo Koei","0.09","0.11","0.06","0.04"
"1226","SBK 2011: FIM Superbike World Championship","X360","2011","Racing","Black Bean Games","0","0.06","0","0.01"
"1227","Blazing Angels: Squadrons of WWII","X360","2006","Simulation","Ubisoft","0.36","0.03","0","0.03"
"1228","G1 Jockey 4 2008","PS3","2008","Sports","Tecmo Koei","0","0.01","0","0"
"1229","Romance of the Three Kingdoms VII","PS2","2000","Strategy","Tecmo Koei","0.08","0.06","0.16","0.02"
"1230","Jyuzaengi: Engetsu Sangokuden","PSP","2012","Action","Idea Factory","0","0","0.03","0"
"1231","Medal of Honor","PC","2010","Shooter","Electronic Arts","0.2","0.23","0","0.07"
"1232","Ice Age: Dawn of the Dinosaurs","PS3","2009","Action","Activision","0.13","0.04","0","0.02"
"1233","Last Escort 2: Shinya no Amai Toge","PS2","2008","Adventure","D3Publisher","0","0","0.03","0"
"1234","QuickSpot","DS","2006","Misc","Namco Bandai Games","0.02","0","0.13","0"
"1235","Assassin's Creed II: Discovery","DS","2009","Action","Ubisoft","0.15","0.11","0","0.03"
"1236","My Healthy Cooking Coach","DS","N/A","Simulation","Unknown","0.09","0","0","0.01"
"1237","Monster Rancher Hop-A-Bout","PS","2000","Action","Tecmo Koei","0.02","0.01","0","0"
"1238","Petz: Crazy Monkeyz","Wii","2008","Simulation","Ubisoft","0.23","0","0","0.02"
"1239","Shin Nippon Pro Wrestling: Toukon Retsuden 2","PS","1996","Fighting","Tomy Corporation","0","0","0.26","0.02"
"1240","Ratchet & Clank: Up Your Arsenal","PS2","2004","Platform","Sony Computer Entertainment","1.31","0.74","0.31","0.22"
"1241","Watch Dogs","X360","2014","Action","Ubisoft","0.72","0.45","0.01","0.11"
"1242","S.C.A.R.S","N64","1998","Racing","Ubisoft","0.05","0.01","0","0"
"1243","Mini Ninjas","Wii","2009","Action","Eidos Interactive","0.17","0.17","0","0.04"
"1244","Power Stakes","PS","1997","Sports","Aques","0","0","0.15","0.01"
"1245","Sesame Street: Elmo's A-to-Zoo Adventure","Wii","2010","Misc","Warner Bros. Interactive Entertainment","0.37","0","0","0.02"
"1246","Famicom Jump: Eiyuu Retsuden","NES","1989","Role-Playing","Namco Bandai Games","0","0","1.1","0"
"1247","Medal of Honor: Warfighter","PC","2012","Action","Electronic Arts","0.14","0.15","0","0.04"
"1248","Pokemon Conquest","DS","2012","Role-Playing","Nintendo","0.58","0.06","0.37","0.04"
"1249","NASCAR '14","PS3","2014","Racing","Deep Silver","0.09","0","0","0.01"
"1250","Hunted: The Demon's Forge","PC","2011","Action","Bethesda Softworks","0.03","0.01","0","0.01"
"1251","Digimon All-Star Rumble","PS3","2014","Fighting","Namco Bandai Games","0.06","0.03","0","0.02"
"1252","GRID","PS3","2008","Racing","Codemasters","0.31","0.57","0.03","0.2"
"1253","Majesty 2: The Fantasy Kingdom Sim","PC","2009","Simulation","Paradox Interactive","0.01","0","0","0"
"1254","PoPoLoCrois Monogatari II","PS","2000","Role-Playing","Sony Computer Entertainment","0","0","0.2","0.01"
"1255","Chuck E. Cheese's Playhouse","DS","2010","Misc","UFO Interactive","0.06","0","0","0"
"1256","Disgaea 5: Alliance of Vengeance","PS4","2015","Role-Playing","Nippon Ichi Software","0.1","0.08","0.06","0.04"
"1257","Dreamer Series: Top Model","DS","2009","Simulation","DreamCatcher Interactive","0.1","0","0","0.01"
"1258","LEGO Marvel's Avengers","X360","2016","Action","Warner Bros. Interactive Entertainment","0.17","0.15","0","0.03"
"1259","Contra 4","DS","2007","Shooter","Konami Digital Entertainment","0.28","0","0.01","0.02"
"1260","Guitar Hero III: Legends of Rock","Wii","2007","Misc","Activision","3.06","1.12","0","0.44"
"1261","Plants vs. Zombies: Garden Warfare 2","XOne","2016","Shooter","Electronic Arts","0.26","0.15","0","0.04"
"1262","Jet Li: Rise to Honor","PS2","2004","Action","Sony Computer Entertainment","0.62","0.48","0","0.16"
"1263","Rayman 10th Anniversary","GBA","2005","Platform","Ubisoft","0.01","0","0","0"
"1264","Nagano Winter Olympics '98","PS","1997","Sports","Konami Digital Entertainment","0.07","50K","0","0.01"
"1265","7th Dragon","DS","2009","Role-Playing","Sega","0","0","0.14","0"
