,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
4930,Rogue Trooper,XB,2006,Shooter,Eidos Interactive,0.01,0.0,0.0,0.0,0.01
4931,Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.22,0.01,0.06,0.75
4932,Rune Factory: A Fantasy Harvest Moon,DS,2006,Role-Playing,Rising Star Games,0.37,0.02,0.14,0.03,0.56
4933,Train Simulator 2016,PC,2015,Simulation,Unknown,0.0,0.04,0.0,0.0,0.04
4934,Death Trap,2600,1982,Action,Avalon Interactive,0.15,0.01,0.0,0.0,0.16
4935,The Cat in the Hat,GBA,2005,Platform,Jack of All Games,0.27,0.1,0.0,0.01,0.38
4937,100 Classic Games,DS,2011,Misc,Rondomedia,0.0,0.03,0.0,0.0,0.03
4938,Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft,0.09,0.18,0.01,0.1,0.38
4939,Kurikin: Nano Island Story,DS,2007,Role-Playing,Nintendo,0.0,0.0,0.09,0.0,0.09
4940,Counter-Strike: Source,PC,2004,Shooter,Vivendi Games,0.0,0.07,0.0,0.02,0.09000000000000001
4941,Lemony Snicket's A Series of Unfortunate Events,XB,2004,Platform,Activision,0.09,0.03,0.0,0.0,0.12
4942,Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.12,0.03,0.11,0.01,0.27
4943,The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%,PS2,2007,Fighting,Banpresto,0.0,0.0,0.03,0.0,0.03
4944,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,2015,Misc,Nintendo,0.01,0.61,0.02,0.04,0.68
4945,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85
4946,Busou Shinki: Battle Masters,PSP,2010,Action,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07
4947,Bakugan Battle Brawlers: Defenders of the Core,PS3,2010,Action,Activision,0.14,0.01,0.0,0.02,0.17
4948,Call of Juarez,PC,2006,Shooter,Ubisoft,0.0,0.01,0.0,0.0,0.01
4949,Asphalt: Injection,PSV,2011,Action,Ubisoft,0.14,0.06,0.0,0.04,0.24000000000000002
4950,Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.2400000000000002
4951,Power Rangers: S.P.D.,GBA,2004,Action,THQ,0.31,0.12,0.0,0.01,0.44
4952,Saints Row 2,PS3,2008,Action,THQ,0.88,0.54,0.02,0.25,1.69
4953,Hybrid Heaven,N64,1999,Role-Playing,Konami Digital Entertainment,0.16,0.04,0.05,0.0,0.25
4954,NFL Street,PS2,2004,Sports,Electronic Arts,1.15,0.08,0.0,0.19,1.42
4955,Jig-A-Pix: Wild World,DS,2009,Puzzle,Zushi Games,0.03,0.01,0.0,0.0,0.04
4956,DECA Sports Freedom,X360,2010,Sports,Hudson Soft,0.27,0.04,0.0,0.02,0.33
4957,Marvel: Ultimate Alliance 2,PS3,2009,Role-Playing,Activision,0.49,0.16,0.0,0.09,0.74
4958,Resident Evil: Revelations 2,X360,2015,Action,Capcom,0.04,0.04,0.0,0.01,0.09
4959,Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.15,0.27,0.0,0.06,0.48000000000000004
4960,Dungeons & Dragons: Shadow over Mystara,PS3,2013,Role-Playing,Capcom,0.0,0.0,0.02,0.0,0.02
4961,Zathura,PS2,2005,Adventure,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13
4962,Obscure: The Aftermath,PSP,2009,Action,Playlogic Game Factory,0.05,0.03,0.0,0.02,0.1
4963,NFL QB Club 2001,N64,2000,Sports,Acclaim Entertainment,0.11,0.01,0.0,0.0,0.12
4964,From Russia With Love,XB,2005,Action,Electronic Arts,0.15,0.04,0.0,0.01,0.2
4965,Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,DS,2005,Action,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
4966,Cyberia,PS,1995,Action,Interplay,0.05,0.03,0.0,0.01,0.09
4967,Greg Hastings' Tournament Paintball Max'd,DS,2006,Shooter,Activision,0.03,0.0,0.0,0.0,0.03
4968,Remember Me,PC,2013,Action,Capcom,0.0,0.05,0.0,0.01,0.060000000000000005
4969,Mahjongg Mysteries: Ancient Egypt,DS,2010,Puzzle,Avanquest,0.07,0.11,0.0,0.02,0.19999999999999998
4970,Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.62,0.4,0.0,0.1,1.12
4971,Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.31,0.0,0.13,0.64
4972,Shin Lucky * Star: Moe Drill ~Tabidachi~,DS,2007,Action,Kadokawa Shoten,0.0,0.0,0.07,0.0,0.07
4973,BattleForge,PC,2009,Strategy,Electronic Arts,0.0,0.01,0.0,0.0,0.01
4974,Need for Speed: The Run,Wii,2011,Action,Electronic Arts,0.13,0.13,0.01,0.03,0.30000000000000004
4975,Kuusen II,PS2,2004,Simulation,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
4976,Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,Electronic Arts,0.0,0.04,0.0,0.0,0.04
4977,SafeCracker: The Ultimate Puzzle Adventure,DS,2009,Puzzle,The Adventure Company,0.07,0.06,0.0,0.01,0.14
4978,Caesars Palace Advance: Millennium Gold Edition,GBA,2001,Misc,Majesco Entertainment,0.05,0.02,0.0,0.0,0.07
4979,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1.61,1.5,0.1,0.39,3.6000000000000005
4980,The Lord of the Rings: Aragorn's Quest,PSP,2010,Action,Warner Bros. Interactive Entertainment,0.07,0.02,0.0,0.02,0.11000000000000001
4981,LEGO Marvel Super Heroes,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.15,0.35,0.0,0.16,0.66
4982,Dead to Rights,PS2,2002,Shooter,Electronic Arts,0.67,0.52,0.0,0.17,1.3599999999999999
4983,Moujuutsukai to Oujisama: Snow Bride,PS2,2011,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
4984,UFC Undisputed 3,PS3,2012,Action,THQ,0.55,0.34,0.03,0.13,1.0500000000000003
4985,Far Cry 4,XOne,2014,Shooter,Ubisoft,0.79,0.68,0.01,0.13,1.6100000000000003
4986,Monopoly Streets,PS3,2010,Misc,Electronic Arts,0.16,0.18,0.0,0.07,0.41
4987,Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,Enix Corporation,0.0,0.0,1.36,0.0,1.36
4988,Pro Evolution Soccer 2013,3DS,2012,Sports,Konami Digital Entertainment,0.05,0.02,0.1,0.01,0.18000000000000002
4989,Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.36,0.32,0.03,0.14,0.85
4990,Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1.0,0.14,0.0,0.1,1.2400000000000002
4991,Cloudy With a Chance of Meatballs,PSP,2009,Platform,Ubisoft,0.07,0.0,0.0,0.01,0.08
4992,Ginga Tetsudou 999 DS,DS,2010,Adventure,Culture Brain,0.0,0.0,0.02,0.0,0.02
4993,Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.6,0.21,0.0,0.08,0.8899999999999999
4994,Dragon Booster,DS,2005,Shooter,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.02
4995,Puyo Puyo Tetris,PS3,2014,Puzzle,Sega,0.0,0.0,0.04,0.0,0.04
4996,Boogie,DS,2007,Misc,Electronic Arts,0.25,0.0,0.0,0.02,0.27
4997,Red Ninja: End of Honor,PS2,2005,Action,Vivendi Games,0.02,0.02,0.0,0.01,0.05
4998,Montessori Music,DS,2008,Misc,Oxygen Interactive,0.01,0.02,0.0,0.0,0.03
4999,Hot Wheels World Race,PS2,2003,Racing,THQ,0.21,0.16,0.0,0.05,0.42
5000,Thrillville,PS2,2006,Strategy,Atari,0.55,0.02,0.0,0.09,0.66
5001,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,Square Enix,0.0,0.0,0.49,0.0,0.49
5002,MLB 07: The Show,PSP,2007,Sports,Sony Computer Entertainment,0.26,0.0,0.0,0.02,0.28
5003,Majesty 2 Collection,PC,2011,Strategy,Paradox Interactive,0.0,0.01,0.0,0.0,0.01
5004,PopCap Hits!,X360,2011,Misc,PopCap Games,0.0,0.02,0.0,0.0,0.02
5005,LEGO Knights' Kingdom,GBA,2004,Action,THQ,0.08,0.03,0.0,0.0,0.11
5006,Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.09,0.1,0.0,0.04,0.23
5007,Zero Escape: Virtue's Last Reward,3DS,2012,Adventure,Rising Star Games,0.03,0.0,0.0,0.0,0.03
5008,PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment,0.26,0.15,0.01,0.1,0.52
5009,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.92,1.78,0.92,0.37,3.99
5010,Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,DS,2008,Role-Playing,Square Enix,0.0,0.0,0.05,0.0,0.05
5011,Curious George,XB,2006,Action,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03
5012,Ultimate Fighting Championship: Throwdown,PS2,2002,Fighting,Ubisoft,0.16,0.12,0.0,0.04,0.32
5013,Hitman: Blood Money,X360,2006,Action,Eidos Interactive,0.29,0.06,0.01,0.03,0.39
5014,Samurai Shodown V,XB,2006,Fighting,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02
5015,My Fashion Studio,DS,2007,Misc,Ubisoft,0.41,0.01,0.0,0.03,0.44999999999999996
5016,Football Manager 2015,PC,2014,Simulation,Sega,0.0,0.43,0.0,0.05,0.48
5017,Where the Wild Things Are,Wii,2009,Platform,Warner Bros. Interactive Entertainment,0.11,0.0,0.0,0.01,0.12
5018,Zoo Hospital,Wii,2008,Simulation,Majesco Entertainment,0.14,0.01,0.0,0.01,0.16000000000000003
5019,Discovery Kids: Spider Quest,DS,2009,Misc,505 Games,0.07,0.0,0.0,0.01,0.08
5020,Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,Action,Capcom,1.06,0.82,0.05,0.28,2.21
5021,Shrek Smash n' Crash Racing,GC,2006,Racing,Activision,0.1,0.03,0.0,0.0,0.13
5022,Venetica,PC,2009,Role-Playing,DTP Entertainment,0.0,0.04,0.0,0.01,0.05
5023,ESPN NBA 2K5,PS2,2004,Sports,Global Star,1.26,0.12,0.0,0.21,1.5899999999999999
5024,Major League Baseball 2K10,PS2,2010,Sports,Take-Two Interactive,0.11,0.09,0.0,0.03,0.23
5025,WWF SmackDown!,PS,2000,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
5026,Tony Hawk's Downhill Jam,DS,2006,Sports,Activision,0.2,0.0,0.0,0.02,0.22
5027,Monster Hunter Diary: Poka Poka Airou Village DX,3DS,2015,Action,Capcom,0.0,0.0,0.14,0.0,0.14
5028,Mr Bean's Wacky World of Wii,Wii,2009,Adventure,Blast! Entertainment Ltd,0.0,0.05,0.0,0.0,0.05
5029,Dark Souls,PC,2012,Role-Playing,Namco Bandai Games,0.0,0.06,0.0,0.01,0.06999999999999999
5030,Pac-Man World 3,DS,2005,Platform,Namco Bandai Games,0.16,0.0,0.0,0.01,0.17
5031,Paws & Claws: Pet Resort,GBA,2006,Simulation,THQ,0.12,0.04,0.0,0.0,0.16
5032,NFL Blitz 20-03,PS2,2002,Sports,Midway Games,0.21,0.17,0.0,0.06,0.44
5033,Who Wants to Be a Millionaire: 3rd Edition,Wii,2010,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.11
5034,Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81
5035,The Golden Compass,PS3,2007,Action,Sega,0.14,0.1,0.0,0.05,0.29000000000000004
5036,Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,1.55,0.54,0.05,0.31,2.4499999999999997
5037,The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.5,0.0,0.17,0.9400000000000001
5038,Rio,X360,2011,Misc,THQ,0.05,0.03,0.0,0.01,0.09
5039,ReCore,XOne,2016,Action,Microsoft Game Studios,0.06,0.03,0.0,0.01,0.09999999999999999
5040,Paragon,PS4,2016,Action,Epic Games,0.01,0.0,0.0,0.0,0.01
5041,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.0200000000000005
5042,Petz: Catz 2,Wii,2007,Simulation,Ubisoft,0.41,0.01,0.0,0.03,0.44999999999999996
5043,Silent Hill HD Collection,PS3,2012,Action,Konami Digital Entertainment,0.15,0.11,0.03,0.05,0.34
5044,Tiger Woods PGA Tour 08,PSP,2007,Sports,Electronic Arts,0.14,0.15,0.0,0.09,0.38
5045,International Track & Field,PS,1996,Sports,Konami Digital Entertainment,0.08,0.05,0.35,0.03,0.51
5046,Genkai Tokki: Moero Crystal,PSV,2015,Role-Playing,Compile Heart,0.0,0.0,0.06,0.0,0.06
5047,Miracle Girls Festival,PSV,2015,Misc,Sega,0.0,0.0,0.05,0.0,0.05
5048,The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
5049,NCAA Football 2005,XB,2004,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68
5050,Real Pool,PS2,2000,Sports,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.29
5051,Cloudy With a Chance of Meatballs,DS,2009,Platform,Ubisoft,0.2,0.01,0.0,0.02,0.23
5052,Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.23
5053,Crusaders of Might and Magic,PS,1999,Role-Playing,3DO,0.14,0.1,0.0,0.02,0.26
5054,Juiced 2: Hot Import Nights,PS2,2007,Racing,THQ,0.19,0.15,0.01,0.05,0.39999999999999997
5055,Harry Potter and the Half-Blood Prince,PSP,2009,Action,Electronic Arts,0.18,0.21,0.0,0.12,0.51
5057,MLB SlugFest 20-03,XB,2002,Sports,Midway Games,0.15,0.04,0.0,0.01,0.2
5058,Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.04,0.0,0.01,0.09
5059,Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios,0.87,0.38,0.0,0.13,1.38
5060,Clash of the Titans,PS3,2010,Action,Namco Bandai Games,0.09,0.16,0.01,0.06,0.32
5061,Curious George,GC,2006,Action,Namco Bandai Games,0.11,0.03,0.0,0.0,0.14
5062,Kong: The 8th Wonder of the World,GBA,2005,Action,Ubisoft,0.33,0.12,0.0,0.01,0.46
5063,The Warriors,PSP,2007,Action,Take-Two Interactive,0.23,0.02,0.0,0.03,0.28
5064,Uta no * Prince-Sama: Repeat,PSP,2011,Adventure,Broccoli,0.0,0.0,0.14,0.0,0.14
5065,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.1899999999999995
5066,Jurassic Park: Operation Genesis,XB,2003,Simulation,Konami Digital Entertainment,0.05,0.01,0.0,0.0,0.060000000000000005
5067,Wade Hixton's Counter Punch,GBA,2004,Sports,"Destination Software, Inc",0.01,0.0,0.0,0.0,0.01
5068,Frisbee Disc Freestyle / Frisbee Disc Golf,DS,2007,Sports,DSI Games,0.02,0.0,0.0,0.0,0.02
5069,Gretzky NHL 06,PSP,2005,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,0.14
5070,Discovery Kids: Kitten Corner,DS,2009,Simulation,505 Games,0.42,0.0,0.0,0.03,0.44999999999999996
5071,SeaBlade,XB,2002,Shooter,TDK Mediactive,0.04,0.01,0.0,0.0,0.05
5072,OutRun 2006: Coast 2 Coast,PS2,2006,Racing,Sega,0.02,0.01,0.01,0.0,0.04
5073,Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0.0,0.02,1.6600000000000001
5074,Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.6
5075,Family Guy: Back to the Multiverse,X360,2012,Action,Activision,0.14,0.09,0.0,0.02,0.25
5076,Pro Yaky? Spirits 5,PS3,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
5077,Magical Tetris Challenge,N64,1997,Puzzle,Activision,0.13,0.02,0.05,0.0,0.2
5078,Dragon's Dogma,PS3,2012,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.7799999999999998
5079,WinBack: Covert Operations,N64,1999,Shooter,Virgin Interactive,0.17,0.04,0.0,0.0,0.21000000000000002
5080,ESPN NFL Primetime 2002,PS2,2001,Sports,Konami Digital Entertainment,0.04,0.03,0.0,0.01,0.08
5081,NHL 11,PS3,2010,Sports,Electronic Arts,0.4,0.13,0.0,0.07,0.6000000000000001
5082,Backyard Baseball,GC,2003,Sports,Infogrames,0.1,0.03,0.0,0.0,0.13
5083,Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009,Fighting,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.16
5084,Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010,Misc,Hudson Soft,0.0,0.0,0.09,0.0,0.09
5085,Gitaroo Man,PS2,2001,Misc,THQ,0.02,0.02,0.0,0.01,0.05
5086,RollerCoaster Tycoon 3: Platinum,PC,2005,Strategy,Atari,0.01,0.06,0.0,0.01,0.07999999999999999
5087,The Sims 2: Bon Voyage,PC,2007,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.02
5088,Gekido,PS,1999,Fighting,Infogrames,0.06,0.04,0.0,0.01,0.11
5089,Murakumo: Renegade Mech Pursuit,XB,2002,Shooter,From Software,0.04,0.01,0.06,0.0,0.11
5090,Battlefield: Hardline,X360,2015,Shooter,Electronic Arts,0.17,0.14,0.0,0.03,0.3400000000000001
5091,Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,0.42,0.19,0.14,0.06,0.81
5092,Polarium,DS,2004,Puzzle,Nintendo,0.13,0.01,0.11,0.01,0.26
5093,Monster Trux Arenas: Special Edition,Wii,2007,Racing,Popcorn Arcade,0.04,0.0,0.0,0.0,0.04
5094,Vandal Hearts II,PS,1999,Strategy,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.11
5095,LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.31,0.22,0.03,0.05,0.6100000000000001
5096,Virtua Fighter,SAT,1994,Fighting,Sega,0.17,0.12,0.77,0.02,1.08
5097,Madden NFL 2003,GBA,2002,Sports,Electronic Arts,0.44,0.16,0.0,0.01,0.61
5098,NBA Street V3,XB,2005,Sports,Electronic Arts,0.28,0.03,0.0,0.01,0.32000000000000006
5099,Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,Majesco Entertainment,0.52,0.01,0.0,0.04,0.5700000000000001
5100,Fireblade,XB,2002,Action,Midway Games,0.06,0.02,0.0,0.0,0.08
5101,Mobile Suit Gundam: Crossfire,PS3,2006,Simulation,Namco Bandai Games,0.06,0.0,0.14,0.01,0.21000000000000002
5102,Machi-Ing Maker 3 x Tousouchuu,PSP,2010,Simulation,D3Publisher,0.0,0.0,0.1,0.0,0.1
5103,Hellboy: The Science of Evil,X360,2008,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
5104,Dinosaur King,DS,2007,Strategy,Sega,0.2,0.0,0.0,0.02,0.22
5105,Need for Speed Carbon,X360,2006,Racing,Electronic Arts,0.76,0.7,0.02,0.18,1.66
5106,Who Wants to be a Millionaire: 2nd Edition,DS,2008,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01
5107,Charm Girls Club: Pajama Party,Wii,2009,Misc,Electronic Arts,0.14,0.0,0.0,0.01,0.15000000000000002
5108,Evolve,XOne,2015,Shooter,Take-Two Interactive,0.36,0.2,0.0,0.06,0.6200000000000001
5109,Lost Planet 3,PS3,2013,Shooter,Capcom,0.07,0.06,0.06,0.03,0.22
5110,NCAA Football 2000,PS,1999,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95
5111,Demon Driver: Time to Burn Rubber!,GBA,2003,Racing,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03
5112,Wetrix,N64,1998,Puzzle,Ocean,0.06,0.02,0.0,0.0,0.08
5113,Pro Evolution Soccer 2015,PC,2014,Sports,Konami Digital Entertainment,0.0,0.06,0.0,0.01,0.06999999999999999
5114,We Sing,Wii,2009,Misc,Nordic Games,0.0,0.69,0.0,0.09,0.7799999999999999
5115,July,DC,1998,Adventure,Fortyfive,0.0,0.0,0.06,0.0,0.06
5116,From TV Animation One Piece: Grand Battle! 3,GC,2003,Fighting,Namco Bandai Games,0.0,0.0,0.2,0.01,0.21000000000000002
5117,Kao the Kangaroo,GBA,2001,Platform,Titus,0.01,0.0,0.0,0.0,0.01
5118,Imagine: Zookeeper,DS,2009,Simulation,Ubisoft,0.16,0.06,0.0,0.02,0.24
5119,Utawarerumono: Futari no Hakuoro,PS4,2016,Misc,Aqua Plus,0.0,0.0,0.04,0.0,0.04
5120,Reel Fishing III,PS2,2003,Sports,Natsume,0.18,0.14,0.0,0.05,0.37
5121,Baroque,Wii,2008,Role-Playing,Rising Star Games,0.07,0.0,0.0,0.0,0.07
5122,Mario Tennis Open,3DS,2012,Sports,Nintendo,0.26,0.29,0.33,0.05,0.9300000000000002
5123,Star Wars Jedi Knight: Jedi Academy,XB,2003,Shooter,Activision,0.34,0.1,0.0,0.02,0.4600000000000001
5124,Brain Exercise With Dr. Kawashima,PC,2009,Puzzle,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
5125,Sailor Moon,SNES,1993,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
5126,Gundam Battle Universe,PSP,2008,Fighting,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
5127,Big Mutha Truckers,XB,2002,Racing,Empire Interactive,0.15,0.04,0.0,0.01,0.2
5128,Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.04,0.33
5129,Fate/Unlimited Codes,PS2,2008,Fighting,Capcom,0.0,0.0,0.14,0.0,0.14
5130,Justice League Heroes,PSP,2006,Role-Playing,Eidos Interactive,0.2,0.01,0.0,0.02,0.23
5131,Mace Griffin: Bounty Hunter,PS2,2003,Shooter,Electronic Arts,0.09,0.07,0.0,0.02,0.18
5132,The First Templar,PC,2011,Action,Kalypso Media,0.06,0.01,0.0,0.01,0.07999999999999999
5133,Ridge Racer 2,PSP,2006,Racing,Sony Computer Entertainment,0.0,0.03,0.07,0.01,0.11
5134,Maximum Racing: Crash Car Racer,Wii,2010,Racing,Nordic Games,0.01,0.01,0.0,0.0,0.02
5135,Monster Hunter G,Wii,2009,Role-Playing,Capcom,0.0,0.0,0.25,0.0,0.25
5136,How to Train Your Dragon,X360,2010,Action,Activision,0.11,0.02,0.0,0.01,0.14
5137,Dynasty Warriors: Gundam 3,X360,2010,Action,Tecmo Koei,0.11,0.04,0.02,0.01,0.18
5138,Duke Nukem: Land of the Babes,PS,2000,Shooter,Atari,0.04,0.03,0.0,0.0,0.07
5139,Turok 3: Shadow of Oblivion,N64,2000,Shooter,Acclaim Entertainment,0.12,0.05,0.0,0.0,0.16999999999999998
5140,Hot Wheels Turbo Racing,PS,1999,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.06
5142,Naval Assault: The Killing Tide,X360,2010,Simulation,505 Games,0.08,0.07,0.0,0.02,0.17
5143,Zenkoku Dekotora Matsuri,Wii,2008,Racing,Jaleco,0.0,0.0,0.03,0.0,0.03
5144,Bleach: Soul Carnival 2,PSP,2009,Fighting,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03
5146,Rapala Pro Bass Fishing 2010,X360,2010,Sports,Activision,0.32,0.05,0.0,0.03,0.4
5147,Jojo's Bizarre Adventure,PS,1999,Fighting,Virgin Interactive,0.01,0.01,0.0,0.0,0.02
5148,Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68
5149,Disney Sing It! High School Musical 3: Senior Year,X360,2009,Misc,Disney Interactive Studios,0.09,0.0,0.0,0.01,0.09999999999999999
5150,Metal Max 2 Reloaded,DS,2011,Role-Playing,Unknown,0.0,0.0,0.05,0.0,0.05
5151,Pro Yaky? Spirits 4,PS2,2007,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19
5152,Rune Factory: Tides of Destiny,PS3,2011,Role-Playing,Marvelous Interactive,0.14,0.0,0.07,0.01,0.22000000000000003
5153,Wall-E,PC,2008,Platform,THQ,0.0,0.01,0.0,0.0,0.01
5154,Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,2004,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.060000000000000005
5155,Batman: A Telltale Game Series,PS3,2016,Adventure,Telltale Games,0.0,0.01,0.0,0.0,0.01
5156,Trivial Pursuit: Bet You Know It,Wii,2011,Misc,Electronic Arts,0.1,0.04,0.0,0.01,0.15000000000000002
5157,Fable: The Journey,X360,2012,Role-Playing,Microsoft Game Studios,0.18,0.09,0.0,0.02,0.29000000000000004
5158,Perfect Dark Zero,X360,2005,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77
5159,Reign of Fire,GC,2002,Shooter,BAM! Entertainment,0.08,0.02,0.0,0.0,0.1
5160,Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0.0,0.0,0.13,0.0,0.13
5162,Tony Hawk's Proving Ground,PS3,2007,Sports,Activision,0.36,0.05,0.0,0.05,0.45999999999999996
5163,Ashes Cricket 2009,Wii,2009,Sports,Codemasters,0.0,0.23,0.0,0.01,0.24000000000000002
5164,Alpha Protocol,X360,2010,Role-Playing,Sega,0.23,0.13,0.0,0.04,0.39999999999999997
5165,One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.38
5166,South Park Rally,N64,2000,Racing,Acclaim Entertainment,0.16,0.04,0.0,0.0,0.2
5167,Adventure Time: Finn & Jake Investigations,XOne,2015,Action,Little Orbit,0.02,0.02,0.0,0.0,0.04
5168,Britney's Dance Beat,GBA,2002,Misc,THQ,0.15,0.06,0.0,0.0,0.21
5169,Zen-Nippon Pro Wrestling: Ouja no Kon,PS,1999,Fighting,Human Entertainment,0.0,0.0,0.12,0.01,0.13
5170,Dolphin,2600,1983,Action,Activision,0.27,0.02,0.0,0.0,0.29000000000000004
5171,Buzz! Junior: Jungle Party,PS2,2006,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
5172,Full Spectrum Warrior: Ten Hammers,XB,2006,Strategy,THQ,0.03,0.01,0.0,0.0,0.04
5173,Batman Beyond: Return of the Joker,PS,2000,Action,Ubisoft,0.09,0.06,0.0,0.01,0.16
5174,Chaos Legion,PS2,2003,Action,Capcom,0.15,0.12,0.0,0.04,0.31
5175,Top Spin 3,X360,2008,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.56
5177,Plushees,DS,2008,Simulation,Destineer,0.01,0.0,0.0,0.0,0.01
5178,Valhalla Knights 2,PSP,2008,Role-Playing,Rising Star Games,0.09,0.0,0.12,0.01,0.22
5179,Spider-Man 2,PSP,2005,Action,Activision,0.35,0.21,0.0,0.14,0.7
5180,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999,Strategy,Konami Digital Entertainment,0.0,0.0,1.1,0.0,1.1
